iter	Passed	Remaining
404	874	1285
405	877	1283
406	879	1281
407	881	1279
408	884	1277
409	886	1275
410	888	1273
411	890	1271
412	892	1268
413	895	1267
414	897	1265
415	899	1262
416	901	1260
417	903	1258
418	906	1256
419	908	1254
420	910	1252
421	912	1249
422	914	1247
423	916	1245
424	918	1243
425	921	1241
426	923	1239
427	925	1237
428	928	1235
429	930	1233
430	983	1298
431	985	1295
432	986	1291
433	988	1288434	1000	1299
435	1001	1295436	992	1279
437	994	1275
438	995	1271
439	996	1268
440	997	1264
441	999	1261
442	1000	1257
443	1002	1255
444	1004	1252
445	100445	101446	100446	101447	100447	101448	101448	1022	1254
449	1024	1252
450	1026	1249
451	1028	1246
452	1029	1243
453	103454	102454	103455	1024	1221
456	1026	1219
457	1029	1217
458	1031	1215
459	1033	1213
460	1035	1211
461	1037	1207
462	1038	1204
463	1039	1200
464	1040	1196
465	1041	1193
466	104466	105467	104467	1054	1198
468	1056	1195
469	1057	1192
470	1058	1188
471	1060	1186
472	1062	1183
473	106474	105474	106475	105475	106476	105476	106477	1059	1156
478	1060	1153
479	106479	107480	106480	107481	106481	107482	106482	107483	106483	107484	1069	1135
485	1070	1131
486	1071	1129
487	1072	1125
488	1075	1123
489	1077	1121
490	107490	108491	108491	109492	108492	109493	108493	109494	108494	109495	109495	110496	109496	110497	109497	1107	1115
498	110499	109499	1111	1111
500	1113	1109
501	1115	1106
502	1118	1104
503	1121	1103
504	1123	1100
505	1124	1097
506	1126	1095
507	1128	1092
508	1130	1090
509	1133	1088
510	1135	1086
511	1137	1084
512	1139	1081
513	1141	1079
514	1143	1077
515	1146	1074
516	1148	1072
517	1150	1070
518	1152	1068
519	1154	1065
520	1156	1063
521	1158	1061
522	1160	1058
523	1163	1056
524	1165	1054
525	1167	1052
526	1169	1049
527	1171	1047
528	1173	1045
529	1175	1042
530	1177	1040
531	1180	1038
532	1182	1035
533	1184	1033
534	1186	1031
535	1188	1029
536	1190	1026
537	1193	1024
538	1195	1022
539	1197	1019
540	1199	1017
541	1201	1015
542	1203	1013
543	1205	1010
544	1208	1008
545	1209	1005
546	1211	1003
547	1214	1001
548	1216	999
549	1218	996
550	1220	994
551	1222	992
552	1224	990
553	1227	987
554	1229	985
555	1231	983
556	1233	981
557	1236	979
558	1238	977
559	1240	974
560	1242	972
561	1245	970
562	1247	968
563	1249	966
564	1251	963
565	1253	961
566	1255	959
567	1258	956
568	1260	954
569	1262	952
570	1264	949
571	1266	947
572	1268	945
573	1270	942
574	1272	940
575	1274	938
576	1276	936
577	1279	933
578	1281	931
579	1283	929
580	1285	927
581	1287	924
582	1289	922
583	1291	920
584	1293	917
585	1295	915
586	1298	913
587	1300	911
588	1302	908
589	1304	906
590	1306	903
591	1308	901
592	1310	899
593	1312	897
594	1314	894
595	1316	892
596	1319	890
597	1320	887
598	1322	885
599	1324	883
600	1326	880
601	1328	878
602	1329	875
603	1331	872
604	1333	870
605	1335	868
606	1338	866
607	1340	864
608	1341	861
609	1343	859
610	1346	857
611	1348	854
612	1350	852
613	1352	850
614	1354	847
615	1356	845
616	1358	843
617	1360	841
618	1362	838
619	1365	836
620	1367	834
621	1369	832
622	1371	829
623	1373	827
624	1375	825
625	1377	822
626	1379	820
627	1381	818
628	1383	816
629	1385	813
630	1388	811
631	1390	809
632	1392	807
633	1394	805
634	1396	802
635	1398	800
636	1401	798
637	1403	796
638	1405	794
639	1407	791
640	1409	789
641	1411	787
642	1413	784
643	1415	782
644	1418	780
645	1420	778
646	1422	776
647	1424	773
648	1426	771
649	1428	769
650	1431	767
651	1434	765
652	1437	763
653	1439	761
654	1441	759
655	1443	756
656	1445	754
657	1447	752
658	1450	750
659	1452	748
660	1455	746
661	1457	743
662	1459	741
663	1461	739
664	1463	737
665	1466	735
666	1468	732
667	1470	730
668	1472	728
669	1474	726
670	1477	724
671	1479	722
672	1481	719
673	1483	717
674	1485	715
675	1487	713
676	1490	710
677	1492	708
678	1494	706
679	1496	704
680	1498	701
681	1500	699
682	1502	697
683	1504	695
684	1506	692
685	1508	690
686	1510	688
687	1512	686
688	1515	683
689	1517	681
690	1519	679
691	1521	677
692	1523	674
693	1525	672
694	1528	670
695	1530	668
696	1532	666
697	1534	663
698	1536	661
699	1538	659
700	1540	657
701	1542	654
702	1544	652
703	1546	650
704	1548	648
705	1550	645
706	1553	643
707	1555	641
708	1557	639
709	1559	636
710	1561	634
711	1564	632
712	1566	630
713	1568	628
714	1570	626
715	1572	623
716	1574	621
717	1577	619
718	1579	617
719	1581	614
720	1583	612
721	1585	610
722	1587	608
723	1589	605
724	1591	603
725	1593	601
726	1596	599
727	1598	597
728	1600	594
729	1602	592
730	1604	590
731	1606	588
732	1608	585
733	1610	583
734	1612	581
735	1614	579
736	1617	577
737	1619	574
738	1621	572
739	1623	570
740	1625	568
741	1627	565
742	1629	563
743	1632	561
744	1634	559
745	1636	557
746	1638	554
747	1640	552
748	1643	550
749	1645	548
750	1647	546
751	1649	543
752	1651	541
753	1653	539
754	1655	537
755	1658	535
756	1659	532
757	1662	530
758	1664	528
759	1666	526
760	1668	524
761	1670	521
762	1672	519
763	1674	517
764	1676	515
765	1679	512
766	1681	510
767	1683	508
768	1685	506
769	1687	504
770	1689	501
771	1691	499
772	1693	497
773	1696	495
774	1698	492
775	1700	490
776	1702	488
777	1704	486
778	1706	484
779	1708	481
780	1710	479
781	1712	477
782	1714	475
783	1716	473
784	1718	470
785	1721	468
786	1723	466
787	1725	464
788	1727	461
789	1729	459
790	1731	457
791	1733	455
792	1736	453
793	1738	451
794	1740	448
795	1742	446
796	1744	444
797	1746	442
798	1748	439
799	1751	437
800	1753	435
801	1755	433
802	1757	431
803	1759	428
804	1761	426
805	1764	424
806	1766	422
807	1768	420
808	1770	417
809	1772	415
810	1774	413
811	1776	411
812	1778	409
813	1781	406
814	1783	404
815	1785	402
816	1787	400
817	1789	398
818	1791	396
819	1793	393
820	1796	391
821	1798	389
822	1800	387
823	1802	384
824	1804	382
825	1806	380
826	1808	378
827	1810	376
828	1812	373
829	1814	371
830	1817	369
831	1819	367
832	1821	365
833	1823	362
834	1825	360
835	1828	358
836	1830	356
837	1833	354
838	1835	352
839	1837	349
840	1839	347
841	1841	345
842	1844	343
843	1846	341
844	1848	339
845	1850	336
846	1852	334
847	1854	332
848	1856	330
849	1858	328
850	1860	325
851	1863	323
852	1865	321
853	1867	319
854	1869	316
855	1871	314
856	1873	312
857	1875	310
858	1877	308
859	1879	306
860	1882	303
861	1884	301
862	1886	299
863	1888	297
864	1890	295
865	1892	292
866	1895	290
867	1897	288
868	1899	286
869	1901	284
870	1903	281
871	1906	279
872	1908	277
873	1910	275
874	1912	273
875	1914	271
876	1916	268
877	1919	266
878	1921	264
879	1923	262
880	1925	260
881	1927	257
882	1929	255
883	1932	253
884	1934	251
885	1936	249
886	1938	246
887	1940	244
888	1942	242
889	1944	240
890	1946	238
891	1949	235
892	1951	233
893	1953	231
894	1955	229
895	1957	227
896	1958	224
897	1959	222
898	1960	220
899	1961	217
900	1962	215
901	1963	213
902	1965	211
903	1967	208
904	1970	206
905	1972	204
906	1974	202
907	1976	200
908	1978	198
909	1980	195
910	1982	193
911	1984	191
912	1987	189
913	1989	187
914	1991	184
915	1993	182
916	1995	180
917	1997	178
918	1999	176
919	2002	174
920	2004	171
921	2006	169
922	2008	167
923	2010	165
924	2012	163
925	2015	161
926	2017	158
927	2019	156
928	2020	154
9930	2010	1499931	2013	1469932	2015	1449933	2017	1429934	2019	1409935	2021	1389936	2024	136936	2037	137
937	2039	134
938	2041	132
939	2043	130
940	2045	128
941	2047	126
942	2050	123
943	2052	121
944	2054	119
945	2056	117
946	2058	115
947	2061	113
948	2063	110
949	2065	108
950	2067	106
951	2069	104
952	2071	102
953	2073	99
954	2075	97
955	2077	95
956	2079	93
957	2082	91
958	2084	89
959	2086	86
960	2088	84
961	2090	82
962	2092	80
964	2083	75
964	2097	76
965	2099	73
966	2101	71
967	2103	69
968	2105	67
969	2107	65
970	2109	63
971	2111	60
972	2114	58
973	2116	56
974	2117	54
975	2120	52
976	2122	49
977	2124	47
978	2126	45
979	2128	43
980	2131	41
981	2133	39
982	2135	36
984	2125	32
985	2127	30
986	2129	28
987	2132	25
988	2134	23
989	2136	21
990	2138	19
991	2140	17
992	2142	15
993	2145	12
994	2147	10
995	2149	8
996	2151	6
997	2153	4
998	2155	2
999	2156	0

999	2168	0
4	155
963	4037	150
964	4039	146
965	4042	142
966	4044	138
967	4047	133
968	4049	129
969	4052	125
970	4054	121
971	4057	116
972	4059	112
973	4062	108
974	4064	104
975	4066	99
976	4068	95
977	4071	91
978	4073	87
979	4075	83
980	4077	78
981	4079	74
982	4082	70
983	4084	66
984	4086	62
985	4088	58
986	4090	53
987	4093	49
988	4095	45
989	4097	41
990	4099	37
991	4101	33
992	4104	28
993	4106	24
994	4108	20
995	4110	16
996	4112	12
997	4115	8
998	4117	4
999	4119	0
